wavelength(nm),irradiance(w/sqm)
290,1.96E-05
295,1.03E-03
300,1.48E-02
305,7.65E-02
310,1.89E-01
315,3.11E-01
320,4.24E-01
325,5.70E-01
330,7.22E-01
335,7.10E-01
340,7.56E-01
345,7.48E-01
350,7.93E-01
355,8.21E-01
360,7.79E-01
365,9.43E-01
370,9.90E-01
375,9.24E-01
380,9.70E-01
385,8.45E-01
390,9.89E-01
395,9.29E-01
400,1.40E+00
405,1.53E+00
410,1.56E+00
415,1.63E+00
420,1.62E+00
425,1.59E+00
430,1.44E+00
435,1.61E+00
440,1.72E+00
445,1.83E+00
450,1.93E+00
455,1.94E+00
460,1.96E+00
465,1.94E+00
470,1.91E+00
475,1.93E+00
480,1.95E+00
485,1.82E+00
490,1.84E+00
495,1.87E+00
500,1.82E+00
505,1.82E+00
510,1.80E+00
515,1.71E+00
520,1.71E+00
525,1.75E+00
530,1.78E+00
535,1.77E+00
540,1.74E+00
545,1.75E+00
550,1.75E+00
555,1.74E+00
560,1.69E+00
565,1.68E+00
570,1.65E+00
575,1.66E+00
580,1.66E+00
585,1.66E+00
590,1.57E+00
595,1.59E+00
600,1.59E+00
605,1.60E+00
610,1.59E+00
615,1.55E+00
620,1.55E+00
625,1.51E+00
630,1.50E+00
635,1.52E+00
640,1.51E+00
645,1.49E+00
650,1.47E+00
655,1.40E+00
660,1.42E+00
665,1.43E+00
670,1.45E+00
675,1.45E+00
680,1.42E+00
685,1.35E+00
690,1.26E+00
695,1.32E+00
700,1.33E+00
705,1.34E+00
710,1.35E+00
715,1.28E+00
720,1.14E+00
725,1.15E+00
730,1.16E+00
735,1.24E+00
740,1.24E+00
745,1.26E+00
750,1.25E+00
755,1.23E+00
760,8.01E-01
765,8.25E-01
770,1.14E+00
775,1.17E+00
780,1.16E+00
785,1.14E+00
790,1.11E+00
795,1.10E+00
800,1.09E+00
805,1.08E+00
810,1.06E+00
815,9.46E-01
820,9.21E-01
825,9.43E-01
830,9.48E-01
835,9.80E-01
840,1.00E+00
845,9.98E-01
850,9.55E-01
855,9.21E-01
860,9.77E-01
865,9.42E-01
870,9.56E-01
875,9.46E-01
880,9.33E-01
885,9.21E-01
890,9.09E-01
895,8.09E-01
900,6.97E-01
905,7.57E-01
910,6.93E-01
915,6.83E-01
920,7.29E-01
925,7.20E-01
930,5.10E-01
935,2.82E-01
940,4.05E-01
945,3.73E-01
950,3.98E-01
955,4.08E-01
960,4.67E-01
965,5.44E-01
970,6.63E-01
975,6.30E-01
980,6.62E-01
985,7.09E-01
990,7.26E-01
995,7.29E-01
1000,7.21E-01
1005,7.00E-01
1010,7.06E-01
1015,6.98E-01
1020,6.88E-01
1025,6.87E-01
1030,6.78E-01
1035,6.67E-01
1040,6.62E-01
1045,6.53E-01
1050,6.48E-01
1055,6.40E-01
1060,6.26E-01
1065,6.20E-01
1070,6.07E-01
1075,6.05E-01
1080,5.94E-01
1085,5.80E-01
1090,5.71E-01
1095,5.37E-01
1100,5.11E-01
1105,4.83E-01
1110,4.29E-01
1115,2.80E-01
1120,1.88E-01
1125,1.58E-01
1130,1.94E-01
1135,1.77E-01
1140,2.78E-01
1145,2.16E-01
1150,2.35E-01
1155,2.94E-01
1160,3.59E-01
1165,4.14E-01
1170,4.42E-01
1175,4.38E-01
1180,4.32E-01
1185,4.29E-01
1190,4.39E-01
1195,4.47E-01
1200,4.26E-01
1205,4.26E-01
1210,4.31E-01
1215,4.43E-01
1220,4.48E-01
1225,4.46E-01
1230,4.50E-01
1235,4.51E-01
1240,4.48E-01
1245,4.44E-01
1250,4.40E-01
1255,4.32E-01
1260,4.17E-01
1265,3.91E-01
1270,3.80E-01
1275,4.07E-01
1280,4.00E-01
1285,4.05E-01
1290,4.06E-01
1295,3.97E-01
1300,3.79E-01
1305,3.61E-01
1310,3.44E-01
1315,3.22E-01
1320,3.06E-01
1325,2.94E-01
1330,2.29E-01
1335,2.18E-01
1340,1.97E-01
1345,1.15E-01
1350,2.80E-02
1355,1.90E-03
1360,9.10E-05
1365,7.79E-05
1370,1.47E-04
1375,1.59E-03
1380,1.12E-03
1385,4.11E-04
1390,1.88E-03
1395,1.06E-03
1400,3.26E-03
1405,4.44E-03
1410,8.15E-03
1415,2.29E-02
1420,2.69E-02
1425,4.24E-02
1430,5.51E-02
1435,4.78E-02
1440,5.99E-02
1445,7.21E-02
1450,8.59E-02
1455,1.27E-01
1460,1.43E-01
1465,1.14E-01
1470,8.45E-02
1475,1.19E-01
1480,1.17E-01
1485,1.43E-01
1490,1.84E-01
1495,2.10E-01
1500,2.37E-01
1505,2.26E-01
1510,2.53E-01
1515,2.58E-01
1520,2.66E-01
1525,2.71E-01
1530,2.70E-01
1535,2.71E-01
1540,2.68E-01
1545,2.70E-01
1550,2.67E-01
1555,2.64E-01
1560,2.64E-01
1565,2.61E-01
1570,2.48E-01
1575,2.38E-01
1580,2.41E-01
1585,2.46E-01
1590,2.41E-01
1595,2.48E-01
1600,2.37E-01
1605,2.32E-01
1610,2.28E-01
1615,2.32E-01
1620,2.34E-01
1625,2.37E-01
1630,2.34E-01
1635,2.27E-01
1640,2.16E-01
1645,2.17E-01
1650,2.17E-01
1655,2.19E-01
1660,2.21E-01
1665,2.11E-01
1670,2.12E-01
1675,2.08E-01
1680,2.01E-01
1685,2.04E-01
1690,2.04E-01
1695,2.03E-01
1700,2.00E-01
1705,1.97E-01
1710,1.89E-01
1715,1.89E-01
1720,1.86E-01
1725,1.78E-01
1730,1.75E-01
1735,1.65E-01
1740,1.66E-01
1745,1.60E-01
1750,1.67E-01
1755,1.58E-01
1760,1.61E-01
1765,1.41E-01
1770,1.47E-01
1775,1.27E-01
1780,1.12E-01
1785,9.29E-02
1790,1.00E-01
1795,6.12E-02
1800,4.09E-02
1805,2.24E-02
1810,1.74E-02
1815,7.65E-03
1820,3.10E-03
1825,3.84E-03
1830,2.86E-04
1835,5.39E-05
1840,1.08E-05
1845,1.10E-04
1850,6.43E-05
1855,1.73E-05
1860,1.05E-04
1865,1.62E-04
1870,9.74E-06
1875,3.34E-05
1880,5.56E-04
1885,4.56E-04
1890,1.16E-03
1895,8.72E-04
1900,6.48E-05
1905,2.29E-05
1910,2.39E-04
1915,2.53E-04
